,City,Cloudiness,Date,Country,Humidity,Temperature,Latitude,Longtitude,Wind Speed
134,lady frere,0,1619472787,CL,44,295.5,-28.5708,-70.7581,2.47
135,marshall,100,1619472788,GL,97,274.46,66.9395,-53.6735,2.99
136,kapaa,40,1619472788,US,53,282.15,42.6191,-113.6772,5.66
137,meulaboh,47,1619472788,PH,73,300.01,11.1373,123.7228,5.95
138,namatanai,75,1619472789,GL,43,283.15,69.2167,-51.1,8.75
139,escarcega,53,1619472789,CF,80,296.23,5.0267,21.2088,2.04
140,salalah,99,1619472790,RU,89,267.63,70.6333,147.9167,2.19
141,cherskiy,75,1619472790,PG,73,300.72,-6.6024,147.8681,1.1
142,puerto ayora,1,1619472791,US,51,289.15,34.6391,-120.4579,5.66
143,east london,95,1619472791,NZ,85,279.26,-46.1333,167.6833,1.79
144,chagda,30,1619472792,RU,66,275.37,57.2471,58.7298,4.98
145,glendive,5,1619472792,PE,79,293.15,-17.6394,-71.3375,3.15
146,los llanos de aridane,9,1619472792,IS,89,280.42,63.4427,-20.2734,4.21
147,angoche,65,1619472792,CA,15,288.15,52.3501,-110.2683,6.17
148,kaeo,40,1619472793,US,57,300.93,21.4447,-157.8378,3.6
149,nizhneudinsk,14,1619472793,CN,34,285.46,41.7597,86.1469,2.79
150,saint-philippe,97,1619472794,PH,86,295.24,17.4189,121.4443,0.73
151,leningradskiy,100,1619472794,RE,83,297.15,-21.3393,55.4781,5.66
152,tahta,90,1619472794,CA,87,275.15,66.1451,-65.7125,1.03
153,ciudad bolivar,20,1619472794,BR,74,301.15,-5.9156,-35.2628,5.14
154,barentu,66,1619472795,NZ,82,280.93,-46.2817,169.8464,2.24
155,malabo,9,1619472796,IN,36,273.5,34.1667,77.5833,1.36
156,swan hill,30,1619472796,SE,86,273.15,56.1616,15.5866,2.06
157,katsuura,87,1619472797,PF,68,300.11,-16.7833,-151.5,1.51
158,palu,75,1619472797,JP,87,279.15,35.55,133.2333,2.06
159,romny,90,1619472532,GB,93,280.15,57.1437,-2.0981,2.06
160,weyburn,100,1619472798,RU,88,268.28,68.0546,166.4372,1.39
161,liverpool,77,1619472798,ZA,94,289.15,-33.0117,17.9442,8.75
162,aleksandrov gay,44,1619472799,RU,65,273.24,50.2814,113.2867,9.16
163,nizhnevartovsk,100,1619472799,AT,100,282.04,47.0709,9.9475,2.4
164,shizunai,90,1619472799,US,76,280.15,57.79,-152.4072,5.66
165,necochea,40,1619472800,MN,80,270.15,47.9077,106.8832,3
166,maniitsoq,100,1619472800,CN,96,283.03,30.3,108.85,1.01
167,yarmouth,100,1619472800,CN,95,289.83,28.6833,115.8833,2.44
168,longyearbyen,100,1619472801,RU,72,272.08,68.0531,39.5131,7.26
169,rura,100,1619472801,RU,95,271.87,51.5,156.5167,6.11
170,nikolskoye,100,1619472801,CA,61,279.15,48.6499,-53.1147,4.63
171,lagoa,90,1619472802,CA,93,277.15,50.2334,-63.5986,14.4
172,mangrol,90,1619472802,RU,92,273.41,63.05,179.3167,2.14
173,ahipara,97,1619472802,RU,88,275.66,60.445,50.9968,3.3
174,sao filipe,98,1619472802,RU,99,257.05,66.4167,112.4,2.89
175,la asuncion,75,1619472803,MX,74,301.15,20.7,-105.2,8.23
176,mitu,100,1619472803,RU,91,263.54,63.8986,122.7617,3.82
177,portland,75,1619472803,GL,87,276.15,60.9167,-46.05,2.57
178,kuybysheve,20,1619472804,CL,72,290.15,-29.9533,-71.3436,3.6
179,vesele,0,1619472804,AU,34,296.89,-20.7833,117.1333,3.73
180,hasaki,1,1619472804,MZ,92,293.08,-25.0519,33.6442,3.65
181,anadyr,100,1619472805,PH,83,297.24,13.0364,123.3707,2.17
182,vallenar,88,1619472805,RU,71,280.34,54.4586,64.8542,3.86
183,sisimiut,9,1619472805,IN,42,300.16,19.8667,82.9333,0.8
184,rupert,2,1619472636,PK,15,297.78,30.1541,68.5728,2.24
185,sulangan,99,1619472806,CN,50,280.92,52.3333,124.7333,2.01
186,ilulissat,0,1619472806,BR,51,293.7,-21.4803,-56.1381,2.55
187,alindao,0,1619472807,CL,72,291.15,-23.65,-70.4,5.14
188,formoso do araguaia,67,1619472807,AU,79,285.81,-38.2667,141.9667,0.86
189,saint anthony,75,1619472808,RU,93,275.37,54.675,20.1347,5
190,toliary,40,1619472808,IN,78,301.15,13.2167,80.3167,2.06
191,chokurdakh,73,1619472808,BR,82,296.07,-14.4086,-56.4461,0.79
192,finschhafen,20,1619472608,US,21,290.37,39.9523,-75.1638,6.17
193,vila velha,1,1619472809,AR,68,289.43,-29.15,-59.65,1.99
194,lompoc,20,1619472809,LK,100,299.15,6.1241,81.1185,1.03
195,verkhnyaya inta,62,1619472810,NA,37,290.97,-24.8333,16.9833,3.7
196,tuatapere,42,1619472810,AU,73,296.15,-15.7667,128.7333,1.59
197,port hardy,40,1619472810,MX,55,306.15,15.7432,-96.4661,5.14
198,shalya,67,1619472811,NC,65,296.28,-22.6667,167.4833,9.17
199,ilo,81,1619472811,SO,75,301.48,2.0371,45.3438,3.42
200,vestmannaeyjar,96,1619472812,NZ,78,287.59,-40.9597,175.6575,1.79
201,provost,100,1619472812,CN,89,290.22,29.2195,119.477,0.87
202,ahuimanu,29,1619472812,PK,81,300.14,25.2088,64.6357,2.01
203,korla,40,1619472813,VU,83,299.15,-19.55,169.2667,2.57
204,tabuk,98,1619472813,PG,93,297.9,-4.0625,144.0661,0.46
205,saint-pierre,20,1619472813,ES,77,289.15,39.7662,2.7152,3.6
206,pangnirtung,100,1619472813,UG,93,291.83,3.6609,31.7247,0.17
207,parnamirim,58,1619472814,IN,74,300.69,8.8667,77.5,2.29
208,san luis,82,1619472814,RU,88,272.89,62.892,54.9635,1.58
209,kaitangata,75,1619472815,CA,82,285.93,48.9329,-125.5528,2.57
210,leh,53,1619472815,KZ,48,290.08,43.3,52.8,2
211,guerrero negro,1,1619472721,US,53,297.15,30.4091,-89.0436,6.17
212,karlskrona,88,1619472816,RU,92,265.64,59.4511,112.5578,2.96
213,cabo san lucas,75,1619472816,GL,43,283.15,68.8193,-51.1922,8.75
214,tevaitoa,43,1619472816,PE,70,279,-14.0833,-70.4333,2.07
215,sakaiminato,4,1619472817,MV,74,301.58,5.6667,73,2.73
216,aberdeen,48,1619472817,NZ,64,280.37,-45.8742,170.5036,7.15
217,te anau,90,1619472817,NO,86,273.15,71.0357,27.8492,4.12
218,tabialan,20,1619472811,KI,79,302.15,1.3292,172.9752,2.57
219,saint george,14,1619472818,CL,61,293.75,-22.092,-70.1979,2.32
220,bilibino,20,1619472818,PT,88,289.82,38.7992,-9.4469,3.09
221,saldanha,82,1619472819,GL,90,274.65,61.994,-49.6678,2.84
222,luis correia,94,1619472819,CD,86,294.99,-5.9475,29.1947,1.38
223,saryshagan,97,1619472819,ZM,79,293.15,-13.1367,28.4166,0.45
224,aksha,75,1619472820,TR,76,283.15,41.25,36.3333,1.54
225,uwayl,72,1619472820,TL,71,286.07,-8.9266,125.4092,0.87
226,schruns,40,1619472820,MN,31,273.12,48.0056,91.6419,0
227,kodiak,90,1619472821,US,47,285.93,46.7313,-117.1796,4.12
228,ulaanbaatar,100,1619472821,GL,98,274.21,60.1432,-45.2371,4
229,lichuan,0,1619472821,TM,16,295.53,41.1875,61.4036,4.94
230,nanchang,100,1619472822,RU,98,273.71,60.8953,131.9608,0.32
231,ostrovnoy,83,1619472822,BR,67,294.66,-13.4411,-40.4308,3.68
232,ozernovskiy,100,1619472823,RU,95,272.62,50.6789,156.125,9.88
233,bonavista,20,1619472823,US,24,286.48,42.1584,-72.3287,9.26
234,havre-saint-pierre,12,1619472823,PE,81,293.74,-11.0964,-77.6139,4.38
235,beringovskiy,0,1619472823,IN,15,300.62,24.0333,74.7833,2.06
236,koygorodok,0,1619472824,IS,80,275.15,66.0449,-17.3389,2.06
237,udachnyy,40,1619472824,AL,67,287.15,41.685,20.4289,2.06
238,attawapiskat,100,1619472825,CN,90,285.83,32.68,109.0172,0.61
239,ixtapa,59,1619472825,SL,82,299.28,7.6244,-11.8332,1.81
240,kysyl-syr,97,1619472825,DE,61,283.15,51.2333,6.6167,1.03
241,narsaq,98,1619472826,RU,60,279.04,52.0934,53.6528,3.49
242,coquimbo,87,1619472826,AO,51,293.04,-14.6585,17.691,1.61
243,roebourne,49,1619472826,RU,53,279.71,44.425,133.4772,2.82
244,xai-xai,100,1619472827,RU,97,276.19,66.0317,60.1659,4.63
245,maonon,1,1619472796,US,44,286.15,41.2835,-70.0995,5.14
246,zverinogolovskoye,1,1619472827,IN,79,299.69,16.0833,80.1667,2.31
247,junagarh,61,1619472827,MV,74,301.05,2.6708,72.8944,3.11
248,aflu,4,1619472828,NA,51,291.02,-21.4333,15.9333,2.77
249,duki,4,1619472828,NO,69,277.04,58.3794,8.6766,1.54
250,tahe,11,1619472828,NE,9,305.66,18.6853,12.9164,4.11
251,jardim,40,1619472829,GA,83,301.15,-0.7193,8.7815,3.6
252,port augusta,0,1619472829,IN,74,301.91,10.5669,72.642,3.35
253,saleaula,42,1619472829,SD,11,297.3,14.2,24.6667,4.07
254,tsihombe,75,1619472830,CN,88,285.75,36.7483,118.0558,2.7
255,mount isa,100,1619472830,ID,81,298.54,5.203,96.7009,1.64
256,antofagasta,40,1619472831,ID,100,297.15,3.3285,99.1625,1.03
257,praia da vitoria,0,1619472831,SA,82,288.15,18.3851,42.4509,1.54
258,codrington,21,1619472831,PE,94,298.25,-8.1842,-76.5125,0.64
259,svetlyy,43,1619472832,MA,79,287.85,29.5833,-9.5,1.74
260,bacuit,9,1619472832,RU,76,266.34,59.5833,151.2833,1.02
261,kattivakkam,0,1619472832,BR,83,299.15,-9.6658,-35.7353,3.09
262,diamantino,96,1619472832,TG,86,298.36,7.5833,0.6,0.13
263,filadelfia,55,1619472833,AO,74,289.67,-13.7833,14.6833,1.88
264,reconquista,36,1619472833,RU,93,263.01,52.5178,99.825,0.91
265,mount gambier,100,1619472834,UG,97,290.82,3.0201,30.9111,0.46
266,hambantota,100,1619472834,CN,97,290.28,28.8184,115.4327,1
267,maltahohe,40,1619472834,GB,87,280.93,56.0667,-3.7167,3.09
268,kununurra,99,1619472617,CA,41,290.37,49.7665,-119.7357,1.34
269,pochutla,79,1619472835,BY,87,272.54,52.6333,29.7333,2.88
270,mentok,49,1619472835,RU,87,274.18,60.05,69.9,2.63
271,vao,100,1619472836,CN,88,298.43,18.8003,110.3967,2.08
272,mogadishu,100,1619472836,RU,99,276.01,65.441,52.1498,0.7
273,nizhneyansk,0,1619472836,AU,72,282.59,-33.8333,148.6833,1.05
274,masterton,61,1619472836,PH,87,297.06,10.9995,122.6711,2.79
275,lanxi,89,1619472837,IN,37,298.31,25.5198,90.2201,2.34
276,ormara,14,1619472837,RU,95,267.85,58.6881,99.1844,0.95
277,isangel,1,1619472837,US,36,282.04,43.2128,-75.4557,7.72
278,angoram,1,1619472829,US,31,296.48,39.1834,-84.5333,2.57
279,soller,100,1619472838,RU,99,273.29,53.4523,36.9145,4.33
280,moyo,75,1619472838,IR,17,293.15,32.8663,59.2211,2.06
281,alangulam,40,1619472839,RU,97,271.51,60.3778,92.6267,1.21
282,rio gallegos,100,1619472839,GF,89,298.3,5.3833,-52.95,4.6
283,voyvozh,15,1619472839,RU,38,279.24,46.4856,135.8833,1.51
284,ucluelet,4,1619472840,AU,41,289.15,-23.5333,148.1667,4.12
285,san policarpo,0,1619472840,BR,100,298.15,-6.9811,-34.8339,3.09
286,quatre cocos,40,1619472749,US,34,293.15,38.421,-121.4238,3.09
287,gulshat,0,1619472841,IR,42,291.15,37.4747,57.329,3.43
288,zhanaozen,100,1619472841,RU,94,273.11,65.85,74.4859,6.59
289,harrison,100,1619472841,KZ,81,283.97,50.565,72.5692,3.24
290,vitim,20,1619472842,MY,94,299.15,5.4112,100.3354,3.09
291,qasigiannguit,93,1619472842,RU,82,261.05,69.4865,88.3972,4.05
292,macusani,93,1619472843,RU,82,272.59,66.9672,30.3491,1.34
